y_number,reference_name,original_id,new_t250,new_t100,new_t50,new_t25,new_t10,new_t5,new_t2,new_t0,new_clustercode,new_clustercode_frequency,new_wg_number,new_clustercode_updated,new_data,old_clustercode,old_t250,old_t100,old_t50,old_t25,old_t10,old_t5,old_t2,old_t0,old_wg_number,old_clustercode_frequency,UPDATED
Y19-3206_190916-1157,RT015_TL174,,1,1,2,2,35,222,231,258,S,1,WG19-00000,2019-12-03 16:00:04.273859,,NA,,,,,,,,,,,
Y19-2687_190818-1420,RT015_TL174,,1,85,105,142,188,213,219,240,S,1,WG19-00000,2019-12-03 16:00:04.308887,,NA,,,,,,,,,,,
9934d091-8b7a-4bd7-bcbd-12328d96484a,RT015_TL174,,1,16,17,19,21,23,23,23,S,1,WG19-00000,2019-12-03 16:00:04.315724,,S,8,16,17,19,21,23,23,23,WG19-00000,1,t250
1067,RT015_TL174,,1,50,34,38,45,48,49,51,S,1,WG19-00000,2019-12-03 16:00:04.317316,,S,8,50,34,38,45,48,49,51,WG19-00000,1,t250
1679,RT015_TL174,,1,50,50,66,76,82,85,89,S,1,WG19-00000,2019-12-03 16:00:04.319139,,S,8,50,50,66,76,82,85,89,WG19-00000,1,t250
Y19-2960_190831-0927,RT015_TL174,,1,7,8,47,94,219,226,250,S,1,WG19-00000,2019-12-03 16:00:04.337820,,NA,,,,,,,,,,,
Y19-3145_190911-1117,RT015_TL174,,1,7,8,47,195,221,228,255,S,1,WG19-00000,2019-12-03 16:00:04.342426,,NA,,,,,,,,,,,
09a5fcf6-5070-44ff-8bd7-cd40bd51d25f,RT015_TL174,,1,1,2,2,3,4,4,4,S,1,WG19-00000,2019-12-03 16:00:04.354205,,S,1,1,2,3,4,4,4,4,WG19-00000,1,t25;t10
Y19-2145,RT015_TL174,,1,66,82,110,146,158,163,173,S,1,WG19-00000,2019-12-03 16:00:04.411688,,S,37,66,82,110,146,158,163,173,WG19-00000,1,t250
Y19-2272_R,RT015_TL174,,1,50,58,132,176,197,203,220,S,1,WG19-00000,2019-12-03 16:00:04.413582,,S,8,50,58,132,176,197,203,220,WG19-00000,1,t250
